Date,Open,High,Low,Close,Adj Close,Volume
2019-11-22,53.900002,54.349998,53.810001,54.279999,50.299454,13823400
2019-11-25,54.529999,54.529999,54.040001,54.209999,50.2346,15561000
2019-11-26,54.110001,54.119999,53.73,53.810001,49.86393,18078900
2019-11-27,54.150002,54.400002,54.009998,54.34,50.355061,16352900
2019-11-29,54.07,54.75,54.07,54.459999,50.466255,10508600
2019-12-02,54.310001,54.439999,53.549999,53.619999,49.687866,20252700
2019-12-03,53.009998,53.049999,52.169998,52.580002,48.724133,25560700
2019-12-04,52.599998,53.48,52.540001,53.240002,49.335735,18867400
2019-12-05,53.41,53.529999,53.099998,53.23,49.326458,13499700
2019-12-06,53.860001,54.41,53.689999,54.369999,50.382858,18325700
2019-12-09,54.169998,54.549999,53.91,53.919998,49.965862,15070800
2019-12-10,53.490002,53.869999,53.380001,53.689999,49.752724,15959100
2019-12-11,53.740002,53.98,53.07,53.169998,49.270863,16834200
2019-12-12,53.369999,54.549999,53.099998,54.360001,50.3736,19119500
2019-12-13,54.049999,54.419998,53.43,53.790001,49.845394,19179300
2019-12-16,54.240002,54.560001,54.220001,54.220001,50.243862,19793500
2019-12-17,54.110001,54.509998,53.990002,54.34,50.355061,16723400
2019-12-18,54.459999,54.459999,53.630001,53.669998,49.734196,18857000
2019-12-19,53.740002,53.830002,53.419998,53.630001,49.697128,18133300
2019-12-20,54.049999,54.049999,53.07,53.330002,49.419125,66318000
2019-12-23,53.34,54.0,53.25,53.810001,49.86393,17637700
2019-12-24,53.950001,54.040001,53.740002,53.82,49.873192,4635500
2019-12-26,54.049999,54.389999,53.950001,54.150002,50.178989,12517100
2019-12-27,54.290001,54.32,53.869999,53.919998,49.965862,9892000
2019-12-30,54.169998,54.259998,53.5,53.599998,49.669323,10900500
2019-12-31,53.529999,53.82,53.459999,53.799999,49.854656,12566000
2020-01-02,53.849998,54.040001,53.509998,53.75,49.808323,16803100
2020-01-03,53.110001,53.619999,52.900002,53.419998,49.502525,15608800
2020-01-06,52.740002,53.200001,52.720001,53.099998,49.205994,13200300
2020-01-07,53.049999,53.049999,52.470001,52.66,48.798256,13278600
2020-01-08,52.84,53.330002,52.799999,52.82,48.946529,16585600
2020-01-09,53.200001,53.200001,52.48,52.73,48.863129,20817400
2020-01-10,52.790001,52.900002,52.48,52.5,48.649998,13777600
2020-01-13,52.5,52.5,51.830002,52.110001,48.288589,25197600
2020-01-14,50.23,50.740002,49.25,49.299999,45.684658,56668300
2020-01-15,48.830002,48.84,47.98,48.32,44.776531,47148000
2020-01-16,48.459999,49.32,47.84,49.25,45.638325,37020200
2020-01-17,49.369999,49.419998,48.529999,49.18,45.573463,29669200
2020-01-21,49.09,49.880001,48.799999,48.939999,45.351059,30858300
2020-01-22,49.029999,49.09,48.290001,48.560001,44.998928,20367700
2020-01-23,48.389999,48.450001,47.98,48.220001,44.683861,17297900
2020-01-24,48.189999,48.209999,47.18,47.57,44.081524,21239600
2020-01-27,46.889999,47.419998,46.740002,47.099998,43.646,18156200
2020-01-28,47.509998,47.790001,47.279999,47.369999,43.896191,16673300
2020-01-29,47.419998,47.900002,47.259998,47.27,43.803524,16166300
2020-01-30,47.169998,47.950001,47.040001,47.91,44.396603,14760200
2020-01-31,47.419998,47.450001,46.75,46.939999,43.49773,23080400
2020-02-03,47.240002,47.720001,47.029999,47.119999,43.664516,15471100
2020-02-04,47.700001,47.84,47.25,47.259998,43.794262,14973300
2020-02-05,47.900002,48.400002,47.779999,48.310001,44.767265,20141800
2020-02-06,48.439999,48.5,47.849998,47.98,44.935837,18259200
2020-02-07,47.73,48.0,47.48,47.84,44.804722,13174600
2020-02-10,47.669998,47.860001,47.419998,47.77,44.739166,18124800
2020-02-11,48.080002,48.34,47.939999,47.990002,44.94521,13686100
2020-02-12,48.220001,48.490002,47.759998,47.790001,44.757896,16668100
2020-02-13,47.619999,48.18,47.549999,48.119999,45.066959,12530000
2020-02-14,48.139999,48.32,47.75,48.220001,45.16061,15526400
2020-02-18,47.970001,48.119999,46.529999,46.990002,44.008648,22423800
2020-02-19,47.25,47.349998,46.98,47.09,44.102306,15602500
2020-02-20,47.0,47.41,46.68,47.34,44.336445,15965500
2020-02-21,47.48,47.849998,47.099998,47.700001,44.673607,21729100
2020-02-24,46.580002,46.950001,46.259998,46.389999,43.44672,23075900
2020-02-25,46.290001,46.669998,44.959999,45.119999,42.257294,31110100
2020-02-26,45.48,45.650002,44.130001,44.139999,41.339474,27372600
2020-02-27,43.32,44.32,42.43,42.470001,39.775436,41180000
